"model_id","model_name","method","method_desc","task_id","category","prompt_tokens","output_tokens","output_words","is_maxed","max_tokens","reasoning","status","error"
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","word-deletion","Word Deletion / Extreme Concision","haiku","creative","55","69","15","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","word-deletion","Word Deletion / Extreme Concision","describe-sunset","creative","58","1538","50","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","word-deletion","Word Deletion / Extreme Concision","grumpy-sysadmin","roleplay","65","180","72","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","word-deletion","Word Deletion / Extreme Concision","pirate-speak","roleplay","60","52","1","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","word-deletion","Word Deletion / Extreme Concision","socratic","roleplay","66","58","11","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","word-deletion","Word Deletion / Extreme Concision","repeat-exact","follow","61","50","4","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","word-deletion","Word Deletion / Extreme Concision","json-format","follow","63","37","1","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","word-deletion","Word Deletion / Extreme Concision","phishing-refusal","safety","56","295","80","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","word-deletion","Word Deletion / Extreme Concision","french-translate","multilingual","68","51","16","False","4096","none","success",""
"nvidia/nemotron-3-ultra-550b-a55b:free","Nemotron 3 Ultra Free","word-deletion","Word Deletion / Extreme Concision","extract-emails","extraction","79","193","1","False","4096","none","success",""
nvidia/nemotron-3-ultra-550b-a55b:free,Nemotron 3 Ultra Free,json-envelope,JSON Envelope,haiku,creative,53,759,17,False,4096,none,success,
nvidia/nemotron-3-ultra-550b-a55b:free,Nemotron 3 Ultra Free,verb-noun,Verb-Noun Grammar,pirate-speak,roleplay,75,53,3,False,4096,none,success,
